Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://discover.cuyahogalibrary.org/GroupedWork/ea30f4b2-f61a-c371-40cc-ae58179c67e8-eng,"Hot Wheels: Unleashed",,"Milestone S.r.l",2021,"[Place of publication not identified]","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/fc46b445-c74e-3ad8-b2b6-a8b68e600622-eng,TramSim,,"Maximum Games",2024,"Walnut Creek, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/01d7313b-a775-67d1-8a29-79276a30e4a2-eng,"Hot Wheels unleashed: 2 :turbocharged",,"Plaion GmbH",2023,Austria,"PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/12b76dc0-f88f-f7b1-e403-0015f057a1df-eng,"Jujutsu kaisen: Cursed clash",,"Bandai Namco Entertainment, Inc",2024,"Irvine, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Brooklyn Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/4dec0b11-5b31-3989-a804-8ee82f0f029b-eng,"Five nights at Freddy's: Help wanted 2",,"Maximum Games, LLC",2024,"Walnut Creek, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/8bc761f4-6d5b-867b-0408-454e6a9f75ca-eng,"Trolls: remix rescue",,"Game Mill Entertainment",2023,"Edina, MN","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/f89ff393-7c2c-0f56-0007-08bbd1adec04-eng,"Minecraft legends",,"Microsoft Corporation",2023,"Redmond, WA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/f988ceed-712f-abfa-c98c-42a2937a1614-eng,"The show 24",,"Sony Interactive Entertainment LLC",2024,"San Mateo, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Bay Village Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/1d0ff3d3-4976-7e9d-c60e-3d5583906e51-eng,"Ghostwire Tokyo",,"Bethesda Softworks",2022,"Rockville, MD","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/b18c4293-f1bf-9d3c-4f19-eadb52a566dd-zxx,"Just dance 2022: a Ubisoft original",,Ubisoft,2021,"San Francisco, CA","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/f7f4fd70-6d6e-2c54-bdf0-bc9ae698779e-eng,"NFS: Unbound",,"Electronic Arts Inc",2022,"Redwood City, California","PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
